KG,domain,image_metadata,video_metadata,audio_metadata,image,video,audio,sum_perceive,perceivable,alt_image_score,audio_description,video_description,video_subtitle,video_sign_language,audio_subtitle,audio_sign_language,table2_sum,special_needs,accessibility_for_visually_impaired,accessibility_for_deaf,contact_person,dump_size,auth,dump_format,open_license,alternative_access_point_score,sum_operable,operable,version,robots_txt,webpage_status,metadata_broken_links,canonical_ID,robust,metadata_lang,lang,example,labels,description_readability,understandable,sum_overall,mean_overall,sum_T1,mean_T1
linked-tcga,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,-1,0,-3,-0.75,-1,0,-1,0,0,-0.4,,,0,,-0.0048274999999995405,-0.001609166667,-0.0048275,0.0625,-2,-0.125
iso-639-oasis,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,0,0,0,-0.4,,,0,,-0.00699999999999934,-0.002333333333,-0.007,0.0159875,-1.7442,-0.1090125
uk-legislation-api,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,-1,0,-0.2,,,0,,-0.008477941176470272,-0.002825980392,-0.008477941176,0.0625,0,0
cablegate,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,0,0,0,0,0,-1,0,-1,-1,0,-0.4,,,0,,-0.010399999999999632,-0.003466666667,-0.0104,-0.0625,-2,-0.125
iptc-newscodes,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,-0.1428571429,0,-0.4285714286,,,0,,-0.012066666666666448,-0.004022222222,-0.01206666667,0.01405,-1.918057143,-0.1198785714
Amer_Nejma,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-1,0,-0.2,,,0,,-0.020016666666666127,-0.006672222222,-0.02001666667,0.0159875,-0.7442,-0.0465125
bioportal-bto,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-1,0,-0.4,,,0,,-0.020016666666666127,-0.006672222222,-0.02001666667,-0.016725,-2.2676,-0.141725
bioportal-swo,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-1,0,-0.2,,,0,,-0.022619999999999973,-0.00754,-0.02262,-0.0243375,-1.3894,-0.0868375
unodc,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,0,0,-1,-0.25,-1,1,0,0,0,-0.4,,,0,,-0.025774193548386393,-0.008591397849,-0.02577419355,-0.01855230978,-4.296836957,-0.2685523098
openlink-lod-cache,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.027289999999999814,-0.009096666667,-0.02729,-0.03682169118,-1.589147059,-0.09932169118
kore-50-nif-ner-corpus,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,0,0,-0.4,,,0,,-0.04539999999999966,-0.01513333333,-0.0454,-0.00699375,-2.1119,-0.13199375
fu-berlin-stitch,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,-1,-1,0,-0.2,,,0,,-0.04759999999999931,-0.01586666667,-0.0476,0.03488125,-0.4419,-0.02761875
ABC,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,0,0,-0.4,,,0,,-0.04807142857142821,-0.01602380952,-0.04807142857,-0.003004464286,-2.048071429,-0.1280044643
datahub,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,,-1,0,0,-1,-0.25,-1,0,-1,-1,0,-0.4,,,0,,-0.05399999999999916,-0.018,-0.054,0.0625,-1,-0.0625
entice-graph,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,-1,-1,0,-0.4,,,0,,-0.05399999999999916,-0.018,-0.054,0.05878125,-1.0595,-0.06621875
wn-wiki-instances,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,0,0,-0.4,,,0,,-0.05399999999999916,-0.018,-0.054,-0.04696875,-1.7515,-0.10946875
woodtrick,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,0,0,-0.4,,,0,,-0.05416860465116202,-0.01805620155,-0.05416860465,-0.0625,-3,-0.1875
gemet-annotated,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,-1,0,-0.2,,,0,,-0.05566153846153776,-0.01855384615,-0.05566153846,-0.0625,-2,-0.125
reuters-128-nif-ner-corpus,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,-0.5,0,-0.1,,,0,,-0.05819942660550448,-0.01939980887,-0.05819942661,-0.04234551411,-1.177528226,-0.07359551411
amsterdam-museum-as-edm-lod,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,0,-1,0,-0.2,,,0,,-0.06041818181818148,-0.02013939394,-0.06041818182,-0.04177053692,-2.668328591,-0.1667705369
geonames-semantic-web,geography,0,0,0,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,1,,,-1,1,0,0,0,-1,0,0,-0.5555555556,0,-0.3111111111,,0,1,0.04228802346,-0.14574999999999994,-0.02069239531,-1.14575,-0.03372782012,-2.095200678,-0.1309500423
dbpedia-spotlight-nif-ner-corpus,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,0,0,-0.4,,,0,,-0.06237483870967653,-0.0207916129,-0.06237483871,-0.04077232143,-5.652357143,-0.3532723214
kupkb,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,-1,0,0,0,-1,-0.25,-1,0,-1,-0.25,0,-0.45,,,0,,-0.07078211382113808,-0.02359403794,-0.07078211382,-0.0302182598,-4.733492157,-0.2958432598
vivo-cornell-university,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,1,0,-1,0,-0.2,,,0,,-0.07806666666666673,-0.02602222222,-0.07806666667,-0.04023026916,-1.875489661,-0.08524953002
sec-rdfabout,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,0,1,0,0,0,-1,0,-1,-1,0,-0.2,,,0,,-0.0839394736842104,-0.02797982456,-0.08393947368,-0.02522258065,-2.7819,-0.12645
Anime,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.08609909909909907,-0.0286996997,-0.0860990991,0.002334375,-1.96265,-0.122665625
akash,cross_domain,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.08709999999999984,-0.02903333333,-0.0871,-0.00544375,-2.0871,-0.13044375
bioportal-aba,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1111111111,0,-0.2222222222,,,0,,-0.08709999999999984,-0.02903333333,-0.0871,0.00358125,-0.05381111111,-0.003363194444
bioportal-mat,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.6153846154,0,-0.1230769231,,,0,,-0.08709999999999984,-0.02903333333,-0.0871,-0.02141935484,-0.2580156037,-0.01172798199
racai-llod-romanian-wordnet-json,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,0,0,-0.4,,,0,,-0.08709999999999984,-0.02903333333,-0.0871,0.05370625,-1.1407,-0.07129375
rk,cross_domain,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.08709999999999984,-0.02903333333,-0.0871,0.0625,-1,-0.0625
fatimazahra,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,0,0,-0.4,,,0,,-0.09496666666666609,-0.03165555556,-0.09496666667,-0.001251041667,-2.020016667,-0.1262510417
linked-hypernyms,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.6666666667,0,-0.3333333333,,,0,,-0.096225,-0.032075,-0.096225,-0.003776136364,-2.727084848,-0.170442803
Naturopathy,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,0,-0.5,0,-0.5,,,0,,-0.09801451612903178,-0.03267150538,-0.09801451613,-0.005381193694,-2.586099099,-0.1616311937
upper-ontology,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,-0.5,0,-0.1,,,0,,-0.10321162790697658,-0.03440387597,-0.1032116279,0,0.5,0.03125
bioportal-ehdaa,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.10554587020648964,-0.03518195674,-0.1055458702,-0.01751974432,-2.280315909,-0.1425197443
bioportal-ehdaa2,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.10554587020648964,-0.03518195674,-0.1055458702,0,-1,-0.0625
a-collection-of-papers-for-lrec2014-and-related-workshops,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.25,0,-0.45,,,0,,-0.1119,-0.0373,-0.1119,-0.03396227477,-2.793396396,-0.1745872748
cht,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,1,0,-1,1,0,0,0,-1,1,0,-0.1666666667,0,-0.4333333333,,,0,,-0.1119,-0.0373,-0.1119,-0.02560625,-2.576366667,-0.1610229167
dbpedia-commons,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.1119,-0.0373,-0.1119,-0.02814375,-2.616966667,-0.1635604167
geodomainwn,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.11754999999999993,-0.03918333333,-0.11755,-0.03089375,-2.660966667,-0.1663104167
bioportal-dikb-evidence,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.12343401826483957,-0.04114467275,-0.1234340183,-0.03089375,-2.660966667,-0.1663104167
linked-open-vocabularies-lov,cross_domain,0,0,0,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,1,,0,0,1,0,1,0.2,-1,0,-1,-0.1666666667,0,-0.4333333333,,0,1,0.1897887954,-0.4012224899598391,-0.0422867389,-1.40122249,-0.03089375,-2.660966667,-0.1663104167
whonto,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,1,0,-0.1666666667,0,-0.4333333333,,,0,,-0.12792941176470551,-0.04264313725,-0.1279294118,-0.02825,-2.618666667,-0.1636666667
bioportal-cl,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.13726666666666631,-0.04575555556,-0.1372666667,-0.02825,-2.618666667,-0.1636666667
n-lex-as-linked-data,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,0,0,-1,-0.25,-1,1,0,-0.1666666667,0,-0.4333333333,,,0,,-0.1493498207885301,-0.0497832736,-0.1493498208,-0.02825,-2.618666667,-0.1636666667
crowdsourcing-fb,,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,-1,-1,0,0,-2,-0.5,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.16296363636363598,-0.05432121212,-0.1629636364,-0.02825,-2.618666667,-0.1636666667
file:C:UsersaDesktopurn_webprotege_ontology_c0b8701e-374c-4d5a-bc60-970f0cba1976.owl,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,-0.1666666667,0,-0.4333333333,,,0,,-0.16296363636363598,-0.05432121212,-0.1629636364,-0.02825,-2.618666667,-0.1636666667
urn_webprotege_ontology_c0b8701e-374c-4d5a-bc60-970f0cba1976,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,-0.1666666667,0,-0.4333333333,,,0,,-0.16296363636363598,-0.05432121212,-0.1629636364,-0.02825,-2.618666667,-0.1636666667
rkb-explorer-notube,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,0,0,-2,-0.5,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.1689285714285711,-0.05630952381,-0.1689285714,-0.03089375,-2.660966667,-0.1663104167
ontos-news-portal,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.1729921052631579,-0.05766403509,-0.1729921053,-0.02825,-2.618666667,-0.1636666667
yso-paikat,geography,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,0,-0.1666666667,0,-0.4333333333,,,0,,-0.17487499999999956,-0.05829166667,-0.174875,-0.03089375,-2.660966667,-0.1663104167
reload,publications,0,0,0,,0,0,0,-0.1666666667,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,1,,0,-1,1,0,0,0,-1,1,-1,-0.1666666667,0,-0.4333333333,,0,1,0.1680127045,-0.46149999999999924,-0.0586974591,-1.4615,-0.03089375,-2.660966667,-0.1663104167
rss-500-nif-ner-corpus,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.17812511990407642,-0.05937503997,-0.1781251199,-0.03089375,-2.660966667,-0.1663104167
http:www.RAG.comgameonto#,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.18581538461538405,-0.06193846154,-0.1858153846,-0.03089375,-2.660966667,-0.1663104167
data-gov,,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,-1,-1,0,0,-2,-0.5,-1,1,0,-0.1666666667,0,-0.4333333333,,,0,,-0.18648913043478155,-0.06216304348,-0.1864891304,-0.02560625,-2.576366667,-0.1610229167
bioportal-shr,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.19091446540880497,-0.06363815514,-0.1909144654,-0.03089375,-2.660966667,-0.1663104167
bioportal-fbsp,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.19428235294117602,-0.06476078431,-0.1942823529,-0.02825,-2.618666667,-0.1636666667
bioportal-rs,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1666666667,0,-0.4333333333,,,0,,-0.19428235294117602,-0.06476078431,-0.1942823529,-0.03089375,-2.660966667,-0.1663104167
bioportal-ctcae,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1428571429,0,-0.4285714286,,,0,,-0.19458699186991846,-0.06486233062,-0.1945869919,-0.03089375,-2.637157143,-0.1648223214
semsol-crunchbase,cross_domain,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,0,0,0,-1,-0.25,-1,0,-1,-1,0,-0.2,,,0,,-0.20811428571428503,-0.06937142857,-0.2081142857,-0.01597894354,-2.476833806,-0.1125833548
bioportal-ma,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.20889999999999986,-0.06963333333,-0.2089,-0.01729934211,-1.276789474,-0.07979934211
premon,linguistics,0,0,0,,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-7,-1,-1,-1,1,,0,-1,1,0,0,0,-1,1,0,-0.3333333333,0,-0.4666666667,,0,1,0.005905251381,-0.36909999999999965,-0.07263894972,-1.3691,-0.01836323529,-2.627145098,-0.1641965686
ookaboo-rdf-dump,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.6666666667,0,-0.5333333333,,,0,,-0.2218666666666661,-0.07395555556,-0.2218666667,-0.0625,-5.666666667,-0.3541666667
linked-taiwan-geo-names,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,-1,-0.8333333333,0,-0.1666666667,,,0,,-0.22469999999999968,-0.0749,-0.2247,-0.03530316176,-2.398183922,-0.1498864951
qboairbase,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.3333333333,0,-0.06666666667,,,0,,-0.22763189189189115,-0.0758772973,-0.2276318919,-0.0221,-1.686933333,-0.1054333333
bioportal-unitsontology,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.2293571428571426,-0.07645238095,-0.2293571429,-0.06355905707,-4.970330769,-0.2259241259
symptoms-in-chinese,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,0,0,-0.4,,,0,,-0.2293571428571426,-0.07645238095,-0.2293571429,-0.03753302326,-2.600528372,-0.1625330233
bioportal-imr,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.23877499999999996,-0.07959166667,-0.238775,-0.03445330476,-2.551252876,-0.1594533048
japan-radioactivity-stat,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,-1,0,-2,-0.5,-1,1,0,0,0,-0.4,,,0,,-0.2393499999999995,-0.07978333333,-0.23935,-0.0123875,-2.1982,-0.1373875
bioportal-pdq,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.24199999999999933,-0.08066666667,-0.242,-0.05239662162,-2.838345946,-0.1773966216
VelezIndexTotiusArtis,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,1,0,-1,-0.25,-1,0,0,0,1,-0.4,,,0,,-0.24199999999999933,-0.08066666667,0.758,-0.05559183769,-2.889469403,-0.1805918377
EO_metadata,geography,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,1,0,0,0,-1,1,0,0,0,-0.4,,,0,,-0.24261835748792238,-0.08087278583,-0.2426183575,-0.03695758929,-2.591321429,-0.1619575893
data.odw.tw,cross_domain,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,-1,0,0,-2,-0.5,-1,0,-1,0,0,-0.4,,,0,,-0.2485547619047611,-0.0828515873,-0.2485547619,-0.060496875,-2.96795,-0.185496875
usage-review-corpus,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,0,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.2558834645669288,-0.08529448819,-0.2558834646,-0.04018433277,-2.642949324,-0.1651843328
ysa,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,0,0,-0.4,,,0,,-0.2580818181818182,-0.08602727273,-0.2580818182,-0.02598645833,-2.415783333,-0.1509864583
eur-lex-rdf,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,0,0,-1,-0.25,-1,1,0,0,0,-0.4,,,0,,-0.25851999999999975,-0.08617333333,-0.25852,-0.01290177419,-2.206428387,-0.1379017742
11,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,0,0,-0.4,,,0,,-0.2675999999999994,-0.0892,-0.2676,-0.05006758396,-2.801081343,-0.175067584
bioportal-pko,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.2675999999999994,-0.0892,-0.2676,-0.003375,-2.054,-0.128375
fv,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.25,0,-0.25,,,0,,-0.2675999999999994,-0.0892,-0.2676,0.0078125,-1.125,-0.0703125
hongse,cross_domain,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,0,0,-0.4,,,0,,-0.2675999999999994,-0.0892,-0.2676,-0.04319415929,-2.691106549,-0.1681941593
Names,social_networking,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,-1,0,-0.4,,,0,,-0.2675999999999994,-0.0892,-0.2676,-0.02053125,-2.3285,-0.14553125
Stammbuch,social_networking,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,-1,0,-0.6,,,0,,-0.2675999999999994,-0.0892,-0.2676,-0.027509375,-2.44015,-0.152509375
masc-bn-nif,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.625,0,-0.125,,,0,,-0.2706833333333327,-0.09022777778,-0.2706833333,-0.0625,-0.625,-0.0390625
data-incubator-discogs,media,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,-0.3333333333,0,-0.2666666667,,,0,,-0.27071963696369605,-0.09023987899,-0.270719637,-0.0625,-1.333333333,-0.08333333333
bioportal-clo,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-1,0,-0.4,,,0,,-0.2711909090909086,-0.0903969697,-0.2711909091,-0.0625,-1,-0.0625
bioportal-cogat,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.3333333333,0,-0.06666666667,,,0,,-0.2728086956521736,-0.09093623188,-0.2728086957,-0.0625,-2.333333333,-0.1458333333
prelex,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,0,0,-1,-0.25,-1,1,0,-0.6,0,-0.32,,,0,,-0.28023149999999986,-0.0934105,-0.2802315,0.003583333333,-2.542666667,-0.1589166667
AntiqueCarsCollection,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.28031590909090875,-0.09343863636,-0.2803159091,0.01218125,-1.8051,-0.11281875
basque-eurowordnet-lemon-lexicon-3-0,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,,-1,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.2810999999999996,-0.0937,-0.2811,-0.05646957763,-1.903513242,-0.1189695776
bioportal-ypo,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.1,0,-0.22,,,0,,-0.2810999999999996,-0.0937,-0.2811,-0.03554669975,-2.036341229,-0.09256096498
dm2e,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.5,0,-0.3,,,0,,-0.2810999999999996,-0.0937,-0.2811,-0.04822474947,-2.271595992,-0.1419747495
lremap-ri,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.2810999999999996,-0.0937,-0.2811,0.03488125,-1.4419,-0.09011875
FADN_(2019),government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,0,-1,1,0,0,0,-1,1,0,0,0,-0.4,,,0,,-0.2825291338582673,-0.09417637795,-0.2825291339,0.00870625,-1.8607,-0.11629375
Hermos,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,0,0,-0.4,,,0,,-0.2843063084112145,-0.09476876947,-0.2843063084,0.0625,-2,-0.125
data-incubator-nasa,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,-1,0,1,0,0,0,-1,0,-1,0,0,-0.4,,,0,,-0.28522728613569315,-0.09507576205,-0.2852272861,-0.0625,-2,-0.125
congresspeople,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,0,0,-0.4,,,0,,-0.28675000000000006,-0.09558333333,-0.28675,-0.0625,-2,-0.125
parole-simple-lexinfo-ontology-lexicons,linguistics,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,0,-1,0,0,-0.4,,,0,,-0.2878999999999996,-0.09596666667,-0.2879,0.0625,-1,-0.0625
Schemantra,user_generated,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,1,0,-1,0,-0.6,,,0,,-0.2878999999999996,-0.09596666667,-0.2879,-0.01756875,-3.2811,-0.20506875
multimedia-lab,publications,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,,-1,0,0,-1,-0.25,-1,0,-1,-0.6666666667,0,-0.3333333333,,,0,,-0.289785714285714,-0.0965952381,-0.2897857143,-0.01216168699,-2.861253659,-0.1788283537
KnowledgeFusion,cross_domain,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,-1,-0.5,0,-0.3,,,0,,-0.2938117647058818,-0.0979372549,-0.2938117647,-0.03944464286,-2.131114286,-0.1331946429
BVMC,publications,0,0,0,0.0004931951401,0,0,"0,0004931951401",0.00008219919001,0,-1,-1,-1,-1,-1,-1,-6,-0.8888888889,-0.5,-1,1,,0,-1,1,0,0,0,-1,1,0,0,0,-0.4,,0,1,0.06273491501,-0.5617783018867926,-0.09980867738,-1.561285107,-0.0625,-2,-0.125
bioportal-nigo,life_sciences,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,0,0,-1,-0.25,-1,0,-1,-0.3333333333,0,-0.2666666667,,,0,,-0.3004794117647055,-0.1001598039,-0.3004794118,-0.02085122283,-0.6669528986,-0.04168455616
lexvo-org,,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,0,1,0,1,0.25,-1,1,0,-0.25,0,-0.05,,,0,,-0.30163567567567495,-0.1005452252,-0.3016356757,0,-1.25,-0.078125
neurolex-wiki,,0,0,0,,0,0,0,0,,,,,,,,0,,,,0,,,0,1,0,1,0.25,-1,1,0,-1,0,-0.2,,,0,,-0.30444999999999933,-0.1014833333,-0.30445,0.03234375,0.5175,0.03234375
KING,government,0,0,0,,0,0,0,0,,,,,,,,0,,,,1,,,-1,1,0,0,0,-1,0,0,-1,0,-0.2,,,0,,-0.30819999999999936,-0.1027333333,-0.3082,0.00886875,0.1419,0.00886875
